Biere;;;
;;;
Export - Biere 0,5 Liter ;Anzahl/Ltr. ;Preis ;Pfand
Kloster Quelle Classic ;12 x 0,7 lt ;5,75;3,30
Mineralquelle Q4 Classic ;12 x 0,7 lt ;5,25;3,30
Mineralquelle Q4 Classic PET ;12 x 1,0 lt ;7,50;4,50
Odenwald Quelle Classic ;12 x 0,7 lt ;6,95;3,30
Odenwald Quelle Classic PET ;12 x 1,0 lt ;9,25;4,50
Odenwald Quelle Classic PET ;11 x 0,5 lt ;5,45;4,25
Rietenauer Classic ;12 x 0,7 lt;6,75;3,30
Selters Classic ;12 x 0,7 lt ;8,25;3,30
Selters Classic PET ;12 x 1,0 lt ;9,50;3,30
Teinacher Classic ;12 x 0,7 lt ;6,95;3,30
Teinacher Classic PET ;9 x 1,0 lt ;6,95;3,75
Tönissteiner Classic ;12 x 0,7 lt ;7,95;3,30
Tönissteiner Classic PET ;12 x 1,0 lt ;8,75;3,30
Wiesentaler Classic ;12 x 0,7 lt ;6,25;3,30
Wiesentaler Classic PET ;9 x 1,0 lt ;6,60;3,75
Wiesentaler Classic ;12 x 0,5 lt ;5,65;3,30
Wiesentaler Classic PET ;20 x 0,5 lt ;9,90;6,50
  ;  ;  ; 
Mineralwasser Medium ;Anzahl/Ltr ;Preis ;Pfand
Alwa Medium PET ;12 x 1,0 lt ;7,95;3,30
Ensinger Sport Medium PET ;9 x 1,0 lt ;7,95;3,75
Gerolsteiner Medium PET ;12 x 1,0 lt ;9,50;3,30
Kloster Quelle Medium ;12 x 0,7 lt ;5,75;3,30
Mineralquelle Q4 Medium;12 x 0,7 lt ;5,25;3,30
Mineralquelle Q4 Medium PET ;12 x 1,0 lt ;7,50;4,50
Rietenauer Medium ;12 x 0,7 lt ;6,75;3,30
Teinacher Medium ;12 x 0,7 lt ;6,95;3,30
Teinacher Medium PET ;9 x 1,0 lt ;6,95;3,75
Tönissteiner Medium ;12 x 0,75 lt ;7,95;3,30
Tönissteiner Medium PET ;12 x 1,0 lt ;8,75;3,30
Odenwald-Quelle Medium PET ;12 x 1,0 lt ;9,25;4,50
Odenwald-Quelle Medium PET ;11 x 0,5 lt ;5,45;4,25
Staatlich Fachingen Medium ;12 x 0,75 lt ;10,75;3,30
Volvic Medium PET ;6 x 1,5 lt ;6,90;3,00
Wiesentaler Medium ;12 x 0,7 lt ;6,25;3,30
Wiesentaler Medium PET ;9 x 1,0 lt ;6,60;3,75
Wiesentaler Medium ;12 x 0,5 lt ;5,65;3,30
  ;  ;  ; 
Mineralwasser Still / Naturelle ;Anzahl/Ltr ;Preis ;Pfand
Alwa Naturelle PET ;12 x 1,0 lt ;7,95;3,30
Adelholzner naturelle ;12 x 0,75 lt ;9,95;3,30
Bad Niedernauer Römerquelle ;12 x 0,75 lt ;8,95;3,30
Ensinger Sport Still ;9 x 1,0 lt ;7,95;3,75
Griesbacher naturelle ;12 x 0,5 lt ;5,65;3,30
Hirschquelle ;12 x 0,75 lt ;7,95;3,30
Marius Quelle Frische Brise Still ;12 x 0,7 lt ;5,75;3,30
Odenwald-Quelle Naturelle Glas ;12 x 0,7 lt ;6,95;3,30
Odenwald-Quelle Naturelle PET ;12 x 1,0 lt ;9,25;4,50
Odenwald-Quelle Naturelle PET ;11 x 0,5 lt ;5,45;4,25
Peterstaler Black Forest ;12 x 0,7 lt ;8,25;3,30
Peterstaler Black Forest PET ;6 x 1,5 lt ;6,90;3,00
Staatlich Fachinger Still ;12 x 0,75 lt ;10,25;3,30
Tönissteiner Naturelle ;12 x 0,7 lt ;7,95;3,30
Tönissteiner Naturelle PET ;12 x 1,0 lt ;8,75;3,30
Wiesentaler Still PET ;9 x 1,0 lt ;6,60;3,75
Wiesentaler Still PET ;20 x 0,5 lt ;9,90;6,50
  ;  ;  ; 
Mineralwasser Italien ;Anzahl/Ltr ;Preis ;Pfand
San Pellegrino Classic ;16 x 0,75 lt ;15,50;3,90
San Pellegrino Classic ;24 x 0,25 lt ;14,50;5,10
  ;  ;  ; 
Mineralwasser Still Frankreich ;Anzahl/Ltr ;Preis ;Pfand
Vittel Glasflasche ;12 x 1,0 lt ;12,45;3,30
Volvic PET ;6 x 1,5 lt ;6,90;3,00
Volvic PET ;24 x 0,5 lt ;16,50;6,00
Volvic Zitrone PET ;6 x 1,5 lt ;10,45;3,00
Volvic Tee Zitrone PET ;6 x 1,5 lt ;10,45;3,00
Volvic Tee Pfirsich PET ;6 x 1,5 lt ;10,45;3,00
  ;  ;  ; 
Mineralwasser Gastroflasche ;Anzahl/Ltr ;Preis ;Pfand
Apollinaris Selection Classic ;24 x 0,25 lt ;11,90;5,10
Apollinaris Selection Vio still ;24 x 0,25 lt ;11,90;5,10
Ensinger Gurmet Bio Medium ;20 x 0,5 lt ;13,45;4,50
Ensinger Gourmet Bio Classic ;24 x 0,25 lt ;12,60;5,10
Ensinger Gourmet Bio Still ;24 x 0,25 lt ;12,60;5,10
Peterstaler Black Forest Gourmet Still ;12 x 0,75 lt ;9,95;3,30
Peterstaler Black Forest Gourmet Medium ;12 x 0,75 lt ;9,95;3,30
Tönissteiner Exclusive Classic ;12 x 0,75 lt ;9,60;3,30
Tönissteiner Exclusive Classic ;24 x 0,25 lt ;9,40;5,10
Tönissteiner Exclusive Medium ;24 x 0,25 lt ;9,40;5,10
Tönissteiner Exclusive Naturelle ;12 x 0,75 lt ;9,60;3,30
Tönissteiner Exclusive Naturelle ;24 x 0,25 lt ;9,40;5,10
;;;
;;;
Alkoholfreie Getränke / Säfte;;;
;;;
Energy -Drink ;Anzahl/Ltr ;Preis ;Pfand
BOOSTER ;6 x 1,5 lt ;12,95;1,50
  ;  ;  ; 
Limonaden - Getränke ;Anzahl/Ltr ;Preis ;Pfand
Eichbaum Limonade Grapefruit Bügelflasche ;20 x 0,5 lt ;16,80;4,50
Eichbaum Limonade Orange-Malz Bügelflasche ;20 x 0,5 lt ;16,80;4,50
Eichbaum Limonade Zitronen-Hefe Bügelflasche ;20 x 0,5 lt ;16,80;4,50
Libella Cola-Mix ;20 x 0,5 lt ;10,95;3,00
Libella Orange ;20 x 0,5 lt ;10,95;3,00
Odenwald-Quelle Mix Cola-Orange Pet ;12 x 1,0 lt ;10,95;4,50
Odenwald-Quelle Mix Cola-Orange Pet ;11 x 0,5 lt ;8,25;4,25
Orangina Orange ;15 x 0,25 lt ;15,45;3,75
Paulaner Spezi ;20 x 0,5 lt ;12,45;3,00
Tönissteiner Tonja Orange ;12 x 0,75 lt ;9,25;3,30
Tönissteiner Tonja Zitrone ;12 x 0,75 lt ;9,25;3,30
Welde Fassbrause Holunder ;24 x 0,33 lt ;18,00;3,00
Welde Fassbrause Zitrone ;24 x 0,33 lt ;18,00;3,00
Wiesentaler Orange ;12 x 0,7 lt ;7,50;3,30
Wiesentaler Zitrone ;12 x 0,7 lt ;7,50;3,30
Wiesentaler Zitrone Pet ;20 x 0,5 lt ;12,25;6,50
Wiesentaler Cola-Mix Pet ;20 x 0,5 lt ;12,25;6,50
  ;  ;  ; 
Diät Limonaden - Getränke ;Anzahl/Ltr ;Preis ;Pfand
Odenwald-Quelle leichte Grapefruit ;12 x 1,0 lt ;10,95;4,50
Odenwald-Quelle leichte Orange ;12 x 1,0 lt ;10,95;4,50
Odenwald-Quelle leichte Zitrone ;12 x 1,0 lt ;10,95;4,50
Tönissteiner Orange fit ;12 x 0,75 lt;10,25;3,30
Tönissteiner Exotic leicht und fruchtig ;12 x 0,75 lt ;12,50;3,30
  ;  ;  ; 
Nektar und Frucht - Getränke ;Anzahl/Ltr ;Preis ;Pfand
Libella ACE ;20 x 0,5 lt ;13,95;3,00
Tönissteiner ACE Trio ;12 x 0,75   ;12,50;3,30
Wiesentaler ACE Orange Karotte ;12 x 0,5 lt ;9,25;3,30
  ;  ;  ; 
Frucht - Schorle - Getränke ;Anzahlt/Ltr ;Preis ;Pfand
Odenwald-Quelle Apfelsaftschorle Pet ;12 x 1,0 lt ;12,75;4,50
Odenwald-Quelle Apfelsaftschorle Pet ;11 x 0,5 lt ;8,25;4,25
Odenwald-Quelle Apfel-Kirsch Pet ;12 x 1,0 lt ;12,75;4,50
Odenwald-Quelle Apfel-Johannisbeer Pet ;12 x 1,0 lt ;12,75;4,50
Odenwald-Quelle Apfel-Johannisbeer Pet ;11 x 0,5 lt ;8,25;4,25
Libella Apfel-Johannisbeer ;20 x 0,5 lt ;13,95;3,00
Tönissteiner Apple-Mix Pet ;12 x 0,75 lt ;12,50;3,30
Tönissteiner Apple-Mix Gastro ;24 x 0,25 lt ;13,10;5,10
Wiesentaler Apfelsaftschorle ;12 x 0,5 lt ;8,25;3,30
Wiesentaler Apfelsaftschorle Pet ;20 x 0,5 lt ;12,80;6,50
  ;  ;  ; 
Erfrischungs - Getränke ;Anzahlt/Ltr ;Preis ;Pfand
Alwa Brewed Soda Limette-Ingwer ;24 x 0,33 lt ;25,95;3,00
Club-Mate Tee ;20 x 0,5 lt ;16,95;4,50
Bionade Holunder ;12 x 0,33 lt ;10,95;2,20
Bionade Ingwer-Orange ;12 x 0,33 lt ;10,95;2,20
Bionade Kräuter ;12 x 0,33 lt ;10,95;2,20
Libelle Isosport ;20 x 0,5 lt ;12,50;3,00
Odenwald-Quelle Iso-Sport Citrus Pet ;12 x 1,0 lt ;12,75;4,50
Odenwald-Quelle Iso Sport Citrus Pet ;11 x 0,5 lt ;8,25;4,25
Odenwald-Quelle Iso Sport Pink Grape Pet ;11 x 0,5 lt ;8,25;4,25
Schweppes American Ginger Ale ;6 x 1,0 lt ;11,45;2,40
Schweppes American Ginger Ale ;24 x 0,2 lt ;16,95;3,90
Schweppes Indian Tonic Water ;6 x 1,0 lt ;11,45;2,40
